Kingdom,Subkingdoms,Phyla,Subphyla,Classes,Subclasses,Orders,Families,Genera
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Incertae_sedis,Thalassochytriaceae,Thalassochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Nephridiophagales,Nephridiophagaceae,Coleospora
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Nephridiophagales,Nephridiophagaceae,Nephridiophaga
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Nephridiophagales,Nephridiophagaceae,Oryctospora
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Nephridiophagales,Nephridiophagaceae,Peltomyces
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Polyphagales,Polyphagaceae,Polyphagus
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Polyphagales,Polyphagaceae,Volvorax
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Saccopodiales,Saccopodiaceae,Saccopodium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Zygophlyctidales,Zygophlyctidaceae,Zygophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Incertae_sedis,Zygorhizidiales,Zygorhizidiaceae,Zygorhizidium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Catenochytridiaceae,Catenochytridium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Cladochytriaceae,Cladochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Endochytriaceae,Endochytrium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Incertae_sedis,Diplophlyctis
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Nowakowskiellaceae,Nowakowskiella
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Septochytriaceae,Allochytridium
Fungi,Chytridiomyceta,Chytridiomycota,Chytridiomycotina,Cladochytriomycetes,Incertae_sedis,Cladochytriales,Septochytriaceae,Cylindrochytridium
